ward,no.,??Åfl,material,joint,diameter,length(m),leakage year,construction year,??ê›ÅhNêÅh,çXê∂ÅhNÅgx,çXê∂??? ,???ÃçÅˆ?v?èêÅh,Ågπ?H??Åf Åh??Q?zÅiÅÒ~Åj,?s?ØÅg??÷?ÃÅh??Q?zÅiÅÒ~Åj,ÅffêÅcÅh??Q?zÅiÅÒ~Åj,èCÅeUÅh??pÅiÅÒ~Åj,?RêÅcÅeπ?∏(ÅÒ~Åj,?O? ?ÅcêH??ê≥?WêÅh,Åg?? ?ÅcêH??ê≥?WêÅh,?zê›ÅhNÅgx??ê≥?WêÅh,?p????ê≥?WêÅh,???a??ê≥?WêÅh,ÅÒﬂ???Ã???Ã??RL(??Åj,???ÃÅh≠ê∂?\Åe™?ÆRN,RN?Ã?têÅh,?÷ÅÒv?Ã?∑?Z?WêÅh,Åh??pÅiê?ÅÒ~Åj,?÷ÅÒvÅiê?ÅÒ~Åj,Åh??p?÷ÅÒvÅh?,ÅÒﬂ???Ã???Ã??RL(??+1Åj,???ÃÅh≠ê∂?\Åe™?ÆRN',RN'?Ã?têÅh,?÷ÅÒv?Ã?∑?Z?WêÅh(2),?÷ÅÒv(2)Åiê?ÅÒ~Åj,Åh??p?÷ÅÒvÅh?(2),?ÅÒ?Åg?N
I,11,1.15,?c,?j,75,11,,1997,10,0,,0,"133,758","505,248","1,077,235","2,786,096","48,983",1,1,1,1,1,0.205,0.002,448,0.96,"1,966","4,369",2.02,1.218,0.013,75,0.96,"4,369",2.02,A
I,12,1.15,?c,?j,150,6,,1997,10,0,,0,"1,610,800","505,248","1,077,235","2,786,096","25,485",1,1,1,1,1,0.205,0.001,860,0.96,"1,023","5,765",5.11,1.218,0.007,145,0.96,"5,765",5.11,A
I,13,1.15,?c,?`,300,219,,1966,41,0,,0,"1,610,800","505,248","1,077,235","2,786,096","984,016",1,1,1,1,1,0.205,0.045,22,1.43,"39,500","9,958",0.23,1.218,0.266,4,5.66,"39,413",0.91,C
I,14,1.15,?c,?s,150,96,,1978,29,0,,0,"53,133","505,248","1,077,235","2,786,096","431,318",1,1,1,1,1,0.205,0.02,51,0.96,"17,314","4,659",0.24,1.218,0.117,9,2.77,"13,443",0.7,C
I,15,1.15,?c,?s,100,2,,1993,14,0,,0,"1,610,800","505,248","1,077,235","2,786,096","7,057",1,1,1,1,1,0.205,0,3106,0.96,283,"5,747",18.43,1.218,0.002,523,0.96,"5,747",18.43,A
I,16,1.15,?c,?j,150,5,,1999,8,0,,0,0,"505,248","1,077,235","2,786,096","23,038",1,1,1,1,1,0.205,0.001,951,0.96,925,"4,216",4.14,1.218,0.006,160,0.96,"4,216",4.14,A
I,17,1.15,?c,?`,150,3,,1968,39,0,,0,"133,758","505,248","1,077,235","2,786,096","13,605",1,1,1,1,1,0.205,0.001,1611,0.96,546,"4,335",7.2,1.218,0.004,271,0.96,"4,335",7.2,A
I,18,1.15,?c,?`,200,9,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","40,315",1,1,1,1,1,0.205,0.002,544,0.96,"1,618","4,284",2.4,1.218,0.011,92,0.96,"4,284",2.4,A
I,19,1.15,?c,?`,100,2,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","9,307",1,1,1,1,1,0.205,0,2355,0.96,374,"4,254",10.32,1.218,0.003,397,0.96,"4,254",10.32,A
I,20,1.15,?c,?`,200,2,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","9,896",1,1,1,1,1,0.205,0,2215,0.96,397,"4,254",9.72,1.218,0.003,373,0.96,"4,254",9.72,A
I,21,1.22,?c,?`,200,260,,1968,39,0,,0,"133,758","505,248","1,077,235","2,786,096","1,171,140",1,1,1,1,1,0.205,0.053,19,1.58,"47,011","8,964",0.17,1.218,0.317,3,7.4,"41,984",0.81,C
I,22,1.15,?c,?`,200,4,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","15,870",1,1,1,1,1,0.205,0.001,1381,0.96,637,"4,260",6.07,1.218,0.004,233,0.96,"4,260",6.07,A
I,23,1.15,?c,?`,150,2,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","9,808",1,1,1,1,1,0.205,0,2235,0.96,394,"4,254",9.8,1.218,0.003,376,0.96,"4,254",9.8,A
I,24,1.15,?c,?`,100,3,,1977,30,0,,0,"1,610,800","505,248","1,077,235","2,786,096","13,630",1,1,1,1,1,0.205,0.001,1608,0.96,547,"5,753",9.54,1.218,0.004,271,0.96,"5,753",9.54,A
I,25,1.15,?c,?r?Q,300,271,,1997,10,0,,0,"1,610,800","505,248","1,077,235","2,786,096","1,216,555",1,1,1,1,1,0.205,0.055,18,1.63,"48,834","11,729",0.22,1.218,0.329,3,7.4,"53,250",0.99,C
I,26,1.15,?c,?r?Q,300,6,,2006,1,0,,0,"1,610,800","505,248","1,077,235","2,786,096","28,387",1,1,1,1,1,0.205,0.001,772,0.96,"1,139","5,767",4.59,1.218,0.008,130,0.96,"5,767",4.59,A
I,27,1.22,?c,?m?r,150,170,,2002,5,0,,0,"536,574","505,248","1,077,235","2,786,096","763,712",1,1,1,1,1,0.205,0.035,29,1.23,"30,656","6,973",0.21,1.218,0.207,5,4.61,"26,133",0.77,C
I,28,1.15,?c,?m?r,150,150,,1999,8,0,,0,"1,610,800","505,248","1,077,235","2,786,096","672,823",1,1,1,1,1,0.205,0.031,33,1.15,"27,008","7,650",0.26,1.218,0.182,5,4.61,"30,667",1.03,B
I,29,1.15,?c,?j,150,2,,1997,10,0,,0,"1,610,800","505,248","1,077,235","2,786,096","7,463",1,1,1,1,1,0.205,0,2937,0.96,300,"5,747",17.38,1.218,0.002,495,0.96,"5,747",17.38,A
I,30,1.28,?c,?s,200,129,,1993,14,0,,0,"53,133","505,248","1,077,235","2,786,096","579,164",1,1,1,1,1,0.205,0.026,38,1.08,"23,248","5,401",0.21,1.218,0.157,6,3.92,"19,603",0.77,C
I,31,1.22,?c,?s,150,88,,1989,18,0,,0,"536,574","505,248","1,077,235","2,786,096","397,606",1,1,1,1,1,0.205,0.018,55,0.96,"15,960","5,091",0.29,1.218,0.108,9,2.77,"14,689",0.84,C
I,32,1.22,?c,?j,200,4,,1996,11,0,,0,"2,954,136","505,248","1,077,235","2,786,096","19,792",1,1,1,1,1,0.205,0.001,1108,0.96,794,"7,049",8.06,1.218,0.005,187,0.96,"7,049",8.06,A
I,33,1.22,?c,?s,200,228,,1991,16,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,023,594",1,1,1,1,1,0.205,0.047,21,1.47,"41,089","12,269",0.27,1.218,0.277,4,5.66,"47,240",1.04,B
I,34,1.22,?c,?j,150,11,,1996,11,0,,0,"2,954,136","505,248","1,077,235","2,786,096","51,568",1,1,1,1,1,0.205,0.002,425,0.96,"2,070","7,079",3.1,1.218,0.014,72,0.96,"7,079",3.1,A
I,35,1.22,?c,?s,150,259,,1989,18,0,,0,0,"505,248","1,077,235","2,786,096","1,164,862",1,1,1,1,1,0.205,0.053,19,1.58,"46,759","8,743",0.17,1.218,0.315,3,7.4,"40,947",0.79,C
I,36,1.22,?c,?`,200,6,,1968,39,0,,0,"536,574","505,248","1,077,235","2,786,096","28,383",1,1,1,1,1,0.205,0.001,772,0.96,"1,139","4,736",3.77,1.218,0.008,130,0.96,"4,736",3.77,A
I,37,1.22,?c,?s,200,3,,1996,11,0,,0,0,"505,248","1,077,235","2,786,096","13,284",1,1,1,1,1,0.205,0.001,1650,0.96,533,"4,207",7.16,1.218,0.004,278,0.96,"4,207",7.16,A
I,38,1.22,?c,?s,100,2,,1996,11,0,,0,0,"505,248","1,077,235","2,786,096","7,979",1,1,1,1,1,0.205,0,2747,0.96,320,"4,201",11.91,1.218,0.002,463,0.96,"4,201",11.91,A
I,39,1.22,?c,?`,100,3,,1967,40,0,,0,0,"505,248","1,077,235","2,786,096","11,749",1,1,1,1,1,0.205,0.001,1866,0.96,472,"4,205",8.08,1.218,0.003,314,0.96,"4,205",8.08,A
I,40,1.22,?c,?`,75,10,,1977,30,0,,0,0,"505,248","1,077,235","2,786,096","43,275",1,1,1,1,1,0.205,0.002,507,0.96,"1,737","4,235",2.21,1.218,0.012,85,0.96,"4,235",2.21,A
I,41,1.22,?c,?`,100,5,,1977,30,0,,0,0,"505,248","1,077,235","2,786,096","23,659",1,1,1,1,1,0.205,0.001,927,0.96,950,"4,217",4.03,1.218,0.006,156,0.96,"4,217",4.03,A
I,42,1.22,?c,?s,200,281,,1989,18,0,,0,0,"505,248","1,077,235","2,786,096","1,262,726",1,1,1,1,1,0.205,0.058,17,1.69,"50,688","9,517",0.17,1.218,0.342,3,7.4,"41,672",0.75,C
I,43,1.22,?c,?m?r,200,75,,2002,5,0,,0,"536,574","505,248","1,077,235","2,786,096","338,347",1,1,1,1,1,0.205,0.015,65,0.96,"13,582","5,034",0.34,1.218,0.092,11,2.35,"12,322",0.82,C
I,44,1.22,?c,?r?Q,300,491,,1996,11,0,,0,"2,954,136","505,248","1,077,235","2,786,096","2,207,528",1,1,1,1,1,0.205,0.101,10,2.53,"88,613","24,112",0.25,1.218,0.598,2,10.88,"103,689",1.06,B
I,45,1.22,?c,?r?Q,300,14,,2006,1,0,,0,"2,954,136","505,248","1,077,235","2,786,096","64,013",1,1,1,1,1,0.205,0.003,342,0.96,"2,570","7,091",2.5,1.218,0.017,58,0.96,"7,091",2.5,A
I,46,1.5,?c,?r?Q,100,52,,1996,11,0,,0,"53,133","505,248","1,077,235","2,786,096","233,531",1,1,1,1,1,0.205,0.011,94,0.96,"9,374","4,469",0.43,1.218,0.063,16,1.76,"8,193",0.79,C
I,47,1.5,?c,?r?Q,300,21,,2001,6,0,,0,"536,574","505,248","1,077,235","2,786,096","96,484",1,1,1,1,1,0.205,0.004,227,0.96,"3,873","4,802",1.13,1.218,0.026,38,1.08,"5,402",1.27,A
I,48,1.5,?c,?r?Q,150,232,,1996,11,0,,0,"536,574","505,248","1,077,235","2,786,096","1,041,460",1,1,1,1,1,0.205,0.048,21,1.47,"41,806","8,742",0.19,1.218,0.282,4,5.66,"33,658",0.73,C
I,49,1.5,?c,?r?Q,100,7,,1996,11,0,,0,"133,758","505,248","1,077,235","2,786,096","30,879",1,1,1,1,1,0.205,0.001,710,0.96,"1,240","4,352",3.18,1.218,0.008,120,0.96,"4,352",3.18,A
I,50,1.5,?c,?r?Q,100,3,,1996,11,0,,0,"133,758","505,248","1,077,235","2,786,096","13,132",1,1,1,1,1,0.205,0.001,1669,0.96,527,"4,335",7.46,1.218,0.004,281,0.96,"4,335",7.46,A
I,51,1.5,?c,?m?r,150,244,,2001,6,0,,0,"536,574","505,248","1,077,235","2,786,096","1,098,424",1,1,1,1,1,0.205,0.05,20,1.52,"44,092","9,125",0.19,1.218,0.297,3,7.4,"44,426",0.91,C
I,52,1.5,?c,?m?r,100,156,,2001,6,0,,0,"536,574","505,248","1,077,235","2,786,096","701,635",1,1,1,1,1,0.205,0.032,31,1.19,"28,165","6,672",0.21,1.218,0.19,5,4.61,"25,847",0.83,C
I,53,1.5,?c,?m?r,150,10,,2006,1,0,,0,"2,954,136","505,248","1,077,235","2,786,096","46,322",1,1,1,1,1,0.205,0.002,473,0.96,"1,859","7,074",3.45,1.218,0.013,80,0.96,"7,074",3.45,A
I,54,1.5,?c,?m?r,150,10,,2006,1,0,,0,"2,954,136","505,248","1,077,235","2,786,096","47,014",1,1,1,1,1,0.205,0.002,466,0.96,"1,887","7,075",3.4,1.218,0.013,79,0.96,"7,075",3.4,A
I,55,1.5,?c,?m?r,200,431,,2006,1,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,936,507",1,1,1,1,1,0.205,0.088,11,2.35,"77,734","21,759",0.25,1.218,0.524,2,10.88,"100,740",1.18,B
I,56,1.37,?c,?m?r,150,15,,2002,5,0,,0,"53,133","505,248","1,077,235","2,786,096","69,230",1,1,1,1,1,0.205,0.003,317,0.96,"2,779","4,311",1.41,1.218,0.019,53,0.96,"4,311",1.41,A
I,57,1.5,?c,?`,300,135,,1973,34,0,,0,"2,954,136","505,248","1,077,235","2,786,096","609,065",1,1,1,1,1,0.205,0.028,36,1.11,"24,449","8,804",0.33,1.218,0.165,6,3.92,"31,093",1.15,B
I,58,1.37,?c,?m?r,100,35,,2002,5,0,,0,"133,758","505,248","1,077,235","2,786,096","157,996",1,1,1,1,1,0.205,0.007,139,0.96,"6,342","4,474",0.64,1.218,0.043,23,1.39,"6,478",0.93,C
I,59,1.37,?c,?m?r,100,20,,2002,5,0,,0,"53,133","505,248","1,077,235","2,786,096","88,853",1,1,1,1,1,0.205,0.004,247,0.96,"3,567","4,330",1.1,1.218,0.024,42,1.03,"4,646",1.18,A
I,60,1.5,?c,?s,150,128,,1981,26,0,,0,"53,133","505,248","1,077,235","2,786,096","574,950",1,1,1,1,1,0.205,0.026,38,1.08,"23,079","5,396",0.21,1.218,0.156,6,3.92,"19,587",0.77,C
I,61,1.5,?c,?`,300,30,,1973,34,0,,0,"2,954,136","505,248","1,077,235","2,786,096","134,022",1,1,1,1,1,0.205,0.006,164,0.96,"5,380","7,158",1.21,1.218,0.036,28,1.25,"9,321",1.57,A
I,62,1.5,?c,?s,150,299,?,1981,26,0,,1,"133,758","505,248","1,077,235","2,786,096","1,346,258",1,1,1,1,1,1.218,0.365,3,7.4,"54,041","43,280",0.73,1.746,0.523,2,10.88,"63,633",1.07,B
I,63,1.5,?c,?j,300,9,,2002,5,0,,0,"2,954,136","505,248","1,077,235","2,786,096","39,953",1,1,1,1,1,0.205,0.002,549,0.96,"1,604","7,068",4,1.218,0.011,92,0.96,"7,068",4,A
I,64,1.5,?c,?m?r,100,328,,2002,5,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,474,139",1,1,1,1,1,0.205,0.067,15,1.85,"59,174","16,274",0.25,1.218,0.399,3,7.4,"65,097",1,C
I,65,1.37,?c,?`,300,102,,1967,40,0,,0,"133,758","505,248","1,077,235","2,786,096","460,682",1,1,1,1,1,0.205,0.021,48,0.97,"18,492","4,814",0.24,1.218,0.125,8,3.05,"15,137",0.74,C
I,66,1.37,?c,?m?r,200,114,,2002,5,0,,0,"133,758","505,248","1,077,235","2,786,096","514,317",1,1,1,1,1,0.205,0.023,43,1.02,"20,645","5,117",0.22,1.218,0.139,7,3.42,"17,157",0.75,C
I,67,1.42,?c,?j,300,2,,2002,5,0,,0,"536,574","505,248","1,077,235","2,786,096","7,386",1,1,1,1,1,0.205,0,2968,0.96,297,"4,716",14.41,1.218,0.002,500,0.96,"4,716",14.41,A
I,68,1.42,?c,?`,75,12,,1977,30,0,,0,"53,133","505,248","1,077,235","2,786,096","53,044",1,1,1,1,1,0.205,0.002,413,0.96,"2,129","4,296",1.83,1.218,0.014,70,0.96,"4,296",1.83,A
I,69,1.42,?c,?`,75,5,,1977,30,0,,0,"536,574","505,248","1,077,235","2,786,096","23,330",1,1,1,1,1,0.205,0.001,940,0.96,937,"4,731",4.58,1.218,0.006,158,0.96,"4,731",4.58,A
I,70,1.09,?c,?j,300,2,,2002,5,0,,0,"536,574","505,248","1,077,235","2,786,096","8,143",1,1,1,1,1,0.205,0,2692,0.96,327,"4,717",13.09,1.218,0.002,453,0.96,"4,717",13.09,A
I,71,1.42,?c,?`,300,100,,1968,39,0,,0,"536,574","505,248","1,077,235","2,786,096","451,616",1,1,1,1,1,0.205,0.021,49,0.96,"18,128","5,142",0.26,1.218,0.122,8,3.05,"16,338",0.82,C
I,72,1.42,?c,?r?Q,300,10,,2005,2,0,,0,"536,574","505,248","1,077,235","2,786,096","43,910",1,1,1,1,1,0.205,0.002,499,0.96,"1,763","4,751",2.45,1.218,0.012,84,0.96,"4,751",2.45,A
I,73,1.09,?c,?`,300,44,,1968,39,0,,0,"536,574","505,248","1,077,235","2,786,096","196,453",1,1,1,1,1,0.205,0.009,112,0.96,"7,886","4,898",0.56,1.218,0.053,19,1.58,"8,061",0.93,C
I,74,1.09,?c,?r?Q,300,22,,2005,2,0,,0,"536,574","505,248","1,077,235","2,786,096","97,384",1,1,1,1,1,0.205,0.004,225,0.96,"3,909","4,802",1.11,1.218,0.026,38,1.08,"5,403",1.25,A
I,75,1.42,?c,?s,150,122,,1978,29,0,,0,"1,610,800","505,248","1,077,235","2,786,096","547,982",1,1,1,1,1,0.205,0.025,40,1.05,"21,997","6,854",0.28,1.218,0.148,7,3.42,"22,324",0.92,C
I,76,1.42,?c,?s,200,4,,1993,14,0,,0,"1,610,800","505,248","1,077,235","2,786,096","16,606",1,1,1,1,1,0.205,0.001,1320,0.96,667,"5,756",7.83,1.218,0.004,222,0.96,"5,756",7.83,A
I,77,1.42,?c,?j,300,83,,1993,14,0,,0,"1,610,800","505,248","1,077,235","2,786,096","372,008",1,1,1,1,1,0.205,0.017,59,0.96,"14,933","6,097",0.37,1.218,0.101,10,2.53,"16,069",0.98,C
I,78,1.42,?c,?j,200,22,,2000,7,0,,0,"1,610,800","505,248","1,077,235","2,786,096","98,554",1,1,1,1,1,0.205,0.004,222,0.96,"3,956","5,835",1.34,1.218,0.027,37,1.09,"6,625",1.52,A
I,79,1.42,?c,?s,200,5,,1993,14,0,,0,"1,610,800","505,248","1,077,235","2,786,096","23,903",1,1,1,1,1,0.205,0.001,917,0.96,959,"5,763",5.45,1.218,0.006,154,0.96,"5,763",5.45,A
I,80,1.42,?c,?`,150,4,,1970,37,0,,0,"1,610,800","505,248","1,077,235","2,786,096","16,894",1,1,1,1,1,0.205,0.001,1298,0.96,678,"5,756",7.7,1.218,0.005,219,0.96,"5,756",7.7,A
I,81,1.42,?c,?`,200,390,?,1970,37,0,,1,"1,610,800","505,248","1,077,235","2,786,096","1,754,891",1,1,1,1,1,1.218,0.475,2,10.88,"70,444","84,149",1.08,1.746,0.681,1,21.48,"166,132",2.14,A
I,82,1.22,?c,?s,150,8,,1973,34,0,,0,"1,610,800","505,248","1,077,235","2,786,096","37,379",1,1,1,1,1,0.205,0.002,586,0.96,"1,500","5,776",3.49,1.218,0.01,99,0.96,"5,776",3.49,A
I,83,1.42,?c,?s,150,282,,1974,33,0,,0,"1,610,800","505,248","1,077,235","2,786,096","1,266,126",1,1,1,1,1,0.205,0.058,17,1.69,"50,824","12,245",0.22,1.218,0.343,3,7.4,"53,617",0.96,C
I,84,1.26,?c,?s,200,63,,1979,28,0,,0,"1,610,800","505,248","1,077,235","2,786,096","281,428",1,1,1,1,1,0.205,0.013,78,0.96,"11,297","6,010",0.48,1.218,0.076,13,2.06,"12,897",1.04,B
I,85,1.42,?c,?s,150,6,,1973,34,0,,0,"1,610,800","505,248","1,077,235","2,786,096","26,345",1,1,1,1,1,0.205,0.001,832,0.96,"1,058","5,765",4.94,1.218,0.007,140,0.96,"5,765",4.94,A
I,86,1.42,?c,?s,150,132,,1979,28,0,,0,"53,133","505,248","1,077,235","2,786,096","592,974",1,1,1,1,1,0.205,0.027,37,1.09,"23,803","5,466",0.21,1.218,0.161,6,3.92,"19,658",0.75,C
I,87,1.42,?c,?`,200,54,,1970,37,0,,0,"1,610,800","505,248","1,077,235","2,786,096","242,042",1,1,1,1,1,0.205,0.011,91,0.96,"9,716","5,973",0.56,1.218,0.066,15,1.85,"11,510",1.07,B
I,88,1.42,?c,?`,200,401,1983,1970,37,0,,1,"1,610,800","505,248","1,077,235","2,786,096","1,804,466",1,1,1,1,1,1.218,0.489,2,10.88,"72,434","84,688",1.06,1.746,0.701,1,21.48,"167,197",2.09,A
I,89,1.42,?c,?`,200,4,,1979,28,0,,0,"1,610,800","505,248","1,077,235","2,786,096","15,940",1,1,1,1,1,0.205,0.001,1375,0.96,640,"5,756",8.16,1.218,0.004,232,0.96,"5,756",8.16,A
I,90,1.42,?c,?s,200,1,,1993,14,0,,0,"1,610,800","505,248","1,077,235","2,786,096","6,488",1,1,1,1,1,0.205,0,3379,0.96,260,"5,746",20.05,1.218,0.002,569,0.96,"5,746",20.05,A
I,91,1.42,?c,?`,150,1,,1968,39,0,,0,"133,758","505,248","1,077,235","2,786,096","5,406",1,1,1,1,1,0.205,0,4055,0.96,217,"4,327",18.09,1.218,0.001,683,0.96,"4,327",18.09,A
I,92,1.22,?c,?s,200,189,,1973,34,0,,0,"1,610,800","505,248","1,077,235","2,786,096","851,943",1,1,1,1,1,0.205,0.039,26,1.29,"34,198","8,812",0.23,1.218,0.231,4,5.66,"38,665",1.03,B
I,93,1.42,?c,?s,150,44,,1983,24,0,,0,"53,133","505,248","1,077,235","2,786,096","198,904",1,1,1,1,1,0.205,0.009,110,0.96,"7,984","4,436",0.5,1.218,0.054,19,1.58,"7,301",0.83,C
I,94,1.42,?c,?`,100,129,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","578,953",1,1,1,1,1,0.205,0.026,38,1.08,"23,240","5,401",0.21,1.218,0.157,6,3.92,"19,603",0.77,C
I,95,1.42,?c,?`,300,224,,1968,39,0,,0,"1,610,800","505,248","1,077,235","2,786,096","1,007,742",1,1,1,1,1,0.205,0.046,22,1.43,"40,452","9,992",0.22,1.218,0.273,4,5.66,"39,547",0.89,C
I,96,1.42,?c,?j,300,3,,1996,11,0,,0,"1,610,800","505,248","1,077,235","2,786,096","14,480",1,1,1,1,1,0.205,0.001,1514,0.96,581,"5,754",8.99,1.218,0.004,255,0.96,"5,754",8.99,A
I,97,1.42,?c,?`,300,15,,1968,39,0,,0,"1,610,800","505,248","1,077,235","2,786,096","68,396",1,1,1,1,1,0.205,0.003,320,0.96,"2,746","5,806",1.92,1.218,0.019,54,0.96,"5,806",1.92,A
I,98,1.42,?c,?j,100,4,,1996,11,0,,0,"1,610,800","505,248","1,077,235","2,786,096","16,830",1,1,1,1,1,0.205,0.001,1302,0.96,676,"5,756",7.73,1.218,0.005,219,0.96,"5,756",7.73,A
I,99,1.42,?c,?`,75,6,,1977,30,0,,0,"536,574","505,248","1,077,235","2,786,096","27,354",1,1,1,1,1,0.205,0.001,801,0.96,"1,098","4,735",3.91,1.218,0.007,135,0.96,"4,735",3.91,A
I,100,1.42,?c,?`,75,7,,1977,30,0,,0,"53,133","505,248","1,077,235","2,786,096","31,540",1,1,1,1,1,0.205,0.001,695,0.96,"1,266","4,275",3.06,1.218,0.009,117,0.96,"4,275",3.06,A
I,101,1.42,?c,?`,75,14,,1977,30,0,,0,"53,133","505,248","1,077,235","2,786,096","64,978",1,1,1,1,1,0.205,0.003,337,0.96,"2,608","4,307",1.5,1.218,0.018,57,0.96,"4,307",1.5,A
I,102,1.42,?c,?`,75,7,,1977,30,0,,0,"536,574","505,248","1,077,235","2,786,096","29,864",1,1,1,1,1,0.205,0.001,734,0.96,"1,199","4,738",3.59,1.218,0.008,124,0.96,"4,738",3.59,A
I,103,1.42,?c,?`,100,3,,1978,29,0,,0,0,"505,248","1,077,235","2,786,096","13,573",1,1,1,1,1,0.205,0.001,1615,0.96,545,"4,207",7,1.218,0.004,272,0.96,"4,207",7,A
I,104,1.42,?c,?`,75,2,,1978,29,0,,0,0,"505,248","1,077,235","2,786,096","8,274",1,1,1,1,1,0.205,0,2649,0.96,332,"4,202",11.49,1.218,0.002,446,0.96,"4,202",11.49,A
I,105,1.42,?c,?`,100,3,,1972,35,0,,0,"1,610,800","505,248","1,077,235","2,786,096","13,852",1,1,1,1,1,0.205,0.001,1583,0.96,556,"5,754",9.39,1.218,0.004,267,0.96,"5,754",9.39,A
I,106,1.42,?c,?`,100,7,,1976,31,0,,0,"1,610,800","505,248","1,077,235","2,786,096","29,494",1,1,1,1,1,0.205,0.001,743,0.96,"1,184","5,769",4.42,1.218,0.008,125,0.96,"5,769",4.42,A
I,107,1.22,?c,?`,100,2,,1975,32,0,,0,"1,610,800","505,248","1,077,235","2,786,096","10,561",1,1,1,1,1,0.205,0,2076,0.96,424,"5,750",12.31,1.218,0.003,350,0.96,"5,750",12.31,A
I,108,1.42,?c,?`,100,3,,1983,24,0,,0,"53,133","505,248","1,077,235","2,786,096","15,323",1,1,1,1,1,0.205,0.001,1431,0.96,615,"4,260",6.29,1.218,0.004,241,0.96,"4,260",6.29,A
