before,after,interval,constant,AADT
1,3,4,1,0.1987
1,5,4,1,0.1987
1,4,4,1,0.1987
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,4,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,2,1,0.3019
1,1,2,1,0.3019
1,1,2,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,2,5,1,0.3019
1,2,5,1,0.3019
1,4,5,1,0.3019
1,3,5,1,0.3019
1,2,5,1,0.3019
1,4,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,3,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,7,1,0.3019
1,1,7,1,0.3019
1,1,7,1,0.3019
1,1,7,1,0.3019
1,2,7,1,0.3019
1,5,7,1,0.3019
1,3,7,1,0.3019
1,1,7,1,0.3019
1,1,7,1,0.3019
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,3,1,0.096011111
1,1,3,1,0.096011111
1,1,3,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,6,1,0.096011111
1,1,6,1,0.096011111
1,1,1,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,5,1,0.096011111
1,1,5,1,0.096011111
1,1,5,1,0.096011111
1,1,2,1,0.096011111
1,1,2,1,0.096011111
1,1,2,1,0.096011111
1,1,2,1,0.096011111
1,1,2,1,0.096011111
1,1,2,1,0.096011111
1,2,4,1,0.205622222
1,2,3,1,0.703733333
1,3,3,1,0.703733333
1,3,3,1,0.703733333
1,3,3,1,0.703733333
1,2,3,1,0.703733333
1,4,3,1,0.703733333
1,3,7,1,0.698222222
1,2,7,1,0.703733333
1,2,7,1,0.703733333
1,3,7,1,0.702977778
1,4,7,1,0.703733333
1,3,7,1,0.703733333
1,2,7,1,0.703733333
1,3,7,1,0.191611111
1,3,7,1,0.703733333
1,2,7,1,0.703733333
1,2,7,1,0.703733333
1,2,7,1,0.703733333
1,2,7,1,0.703733333
1,2,7,1,0.703733333
1,3,7,1,0.703733333
1,3,7,1,0.703733333
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,3,7,1,0.173166667
1,3,7,1,0.173166667
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,4,7,1,0.173166667
1,4,6,1,0.173166667
1,4,6,1,0.173166667
1,4,6,1,0.173166667
1,5,6,1,0.173166667
1,4,6,1,0.173166667
1,3,6,1,0.173166667
1,1,6,1,0.173166667
1,5,6,1,0.173166667
1,5,6,1,0.173166667
1,3,6,1,0.173166667
1,3,6,1,0.173166667
1,2,6,1,0.173166667
1,3,6,1,0.173166667
1,2,6,1,0.173166667
1,4,6,1,0.173166667
1,3,6,1,0.173166667
1,3,6,1,0.173166667
1,5,6,1,0.173166667
1,4,6,1,0.173166667
1,4,6,1,0.173166667
1,3,6,1,0.173166667
1,4,6,1,0.173166667
1,2,6,1,0.173166667
1,3,6,1,0.207244444
1,1,6,1,0.207244444
1,1,6,1,0.207244444
1,1,6,1,0.207244444
1,5,7,1,0.207244444
1,4,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,3,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,1,7,1,0.207244444
1,2,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,1,7,1,0.207244444
1,4,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,3,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,4,7,1,0.207244444
1,4,7,1,0.207244444
1,1,7,1,0.207244444
1,5,7,1,0.207244444
1,2,7,1,0.207244444
1,4,7,1,0.207244444
1,3,7,1,0.207244444
1,4,7,1,0.207244444
1,4,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,1,7,1,0.207244444
1,4,6,1,0.427544444
1,3,6,1,0.427755556
1,4,6,1,0.427933333
1,3,6,1,0.496166667
1,2,6,1,0.479866667
1,2,8,1,0.435077778
1,4,8,1,0.241444444
1,2,7,1,0.194088889
1,1,3,1,0.134866667
1,1,3,1,0.134866667
1,1,3,1,0.134866667
1,1,3,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,8,1,0.134866667
1,1,8,1,0.134866667
1,1,8,1,0.134866667
1,1,8,1,0.134866667
1,1,8,1,0.134866667
1,1,8,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,6,1,0.134866667
1,1,6,1,0.134866667
1,1,6,1,0.134866667
1,1,6,1,0.134866667
1,1,6,1,0.134866667
1,1,6,1,0.134866667
1,1,4,1,0.026155556
1,1,4,1,0.026155556
1,1,4,1,0.026155556
1,1,4,1,0.026155556
1,1,4,1,0.026155556
1,1,4,1,0.026155556
1,1,4,1,0.026155556
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,2,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,2,4,1,0.024411111
1,1,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,4,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,2,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,1,4,1,0.024411111
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,2,10,1,0.815422222
1,2,10,1,0.815422222
1,2,10,1,0.815422222
1,2,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,2,10,1,0.815422222
1,2,10,1,0.815422222
1,2,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,3,6,1,0.050733333
1,4,6,1,0.050733333
1,2,6,1,0.050733333
1,2,6,1,0.050733333
1,3,6,1,0.050733333
1,1,6,1,0.050733333
1,1,6,1,0.050733333
1,1,6,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,4,5,1,0.050733333
1,5,5,1,0.050733333
1,4,5,1,0.050733333
1,3,5,1,0.050733333
1,1,5,1,0.050733333
1,3,5,1,0.050733333
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,2,1,0.041788889
1,1,2,1,0.041788889
1,1,1,1,0.0594
1,1,1,1,0.0594
1,1,5,1,0.045166667
1,1,5,1,0.045166667
1,1,5,1,0.045166667
1,1,5,1,0.045166667
1,1,5,1,0.045166667
1,1,5,1,0.045166667
1,1,5,1,0.045166667
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
