ward,no.,??Åfl,material,joint,diameter,length(m),leakage year,construction year,??ê›ÅhNêÅh,çXê∂ÅhNÅgx,çXê∂??? ,???ÃçÅˆ?v?èêÅh,Ågπ?H??Åf Åh??Q?zÅiÅÒ~Åj,?s?ØÅg??÷?ÃÅh??Q?zÅiÅÒ~Åj,ÅffêÅcÅh??Q?zÅiÅÒ~Åj,èCÅeUÅh??pÅiÅÒ~Åj,?RêÅcÅeπ?∏(ÅÒ~Åj,?O? ?ÅcêH??ê≥?WêÅh,Åg?? ?ÅcêH??ê≥?WêÅh,?zê›ÅhNÅgx??ê≥?WêÅh,?p????ê≥?WêÅh,???a??ê≥?WêÅh,ÅÒﬂ???Ã???Ã??RL(??Åj,???ÃÅh≠ê∂?\Åe™?ÆRN,RN?Ã?têÅh,?÷ÅÒv?Ã?∑?Z?WêÅh,Åh??pÅiê?ÅÒ~Åj,?÷ÅÒvÅiê?ÅÒ~Åj,Åh??p?÷ÅÒvÅh?,ÅÒﬂ???Ã???Ã??RL(??+1Åj,???ÃÅh≠ê∂?\Åe™?ÆRN',RN'?Ã?têÅh,?÷ÅÒv?Ã?∑?Z?WêÅh(2),?÷ÅÒv(2)Åiê?ÅÒ~Åj,Åh??p?÷ÅÒvÅh?(2),?ÅÒ?Åg?N
G,11,0,?c,?m?r,100,4,,2001,6,0,,0,0,"505,248","1,077,235","2,786,096","19,072",1,1,1,1,1,0.205,0.001,1149,0.96,766,"4,212",4.99,1.218,0.005,194,0.96,"4,212",4.99,A
G,12,1.32,?c,?m?r,100,6,,2000,7,0,,0,0,"505,248","1,077,235","2,786,096","27,413",1,1,1,1,1,0.205,0.001,800,0.96,"1,100","4,220",3.48,1.218,0.007,135,0.96,"4,220",3.48,A
G,13,1.32,?c,?r?Q,300,77,,1995,12,0,,0,0,"505,248","1,077,235","2,786,096","344,947",1,1,1,1,1,0.205,0.016,64,0.96,"13,847","4,525",0.3,1.218,0.093,11,2.35,"11,077",0.73,C
G,14,1.41,?c,?m?r,200,265,,1999,8,0,,0,0,"505,248","1,077,235","2,786,096","1,189,888",1,1,1,1,1,0.205,0.054,18,1.63,"47,764","9,060",0.17,1.218,0.322,3,7.4,"41,133",0.78,C
G,15,1.41,?c,?m?r,150,10,,1999,8,0,,0,0,"505,248","1,077,235","2,786,096","44,901",1,1,1,1,1,0.205,0.002,488,0.96,"1,802","4,237",2.13,1.218,0.012,82,0.96,"4,237",2.13,A
G,16,1.41,?c,?m?r,150,230,,2000,7,0,,0,0,"505,248","1,077,235","2,786,096","1,034,850",1,1,1,1,1,0.205,0.047,21,1.47,"41,540","7,943",0.17,1.218,0.28,4,5.66,"30,583",0.67,C
G,17,1.41,?c,?r?Q,200,899,,1995,12,0,,0,0,"505,248","1,077,235","2,786,096","4,041,863",1,1,1,1,1,0.205,0.184,5,4.61,"162,246","38,772",0.22,1.218,1.095,1,21.48,"180,656",1.01,B
G,18,1.32,?c,?r?Q,300,319,,2000,7,0,,0,0,"505,248","1,077,235","2,786,096","1,433,221",1,1,1,1,1,0.205,0.065,15,1.85,"57,532","10,733",0.17,1.218,0.388,3,7.4,"42,933",0.68,C
G,19,1.32,?c,?r?Q,200,193,,1995,12,0,,0,0,"505,248","1,077,235","2,786,096","869,198",1,1,1,1,1,0.205,0.04,25,1.32,"34,891","6,914",0.18,1.218,0.235,4,5.66,"29,646",0.77,C
G,20,1.32,?c,?r?Q,300,57,,1999,8,0,,0,0,"505,248","1,077,235","2,786,096","256,820",1,1,1,1,1,0.205,0.012,85,0.96,"10,309","4,440",0.39,1.218,0.07,14,1.95,"9,020",0.79,C
G,21,1.32,?c,?r?Q,300,24,,1999,8,0,,0,0,"505,248","1,077,235","2,786,096","109,101",1,1,1,1,1,0.205,0.005,201,0.96,"4,379","4,299",0.89,1.218,0.03,34,1.14,"5,105",1.06,B
G,22,1.32,?c,?r?Q,200,1,,2000,7,0,,0,0,"505,248","1,077,235","2,786,096","3,425",1,1,1,1,1,0.205,0,6400,0.96,137,"4,197",27.8,1.218,0.001,1078,0.96,"4,197",27.8,A
G,23,1.32,?c,?r?Q,200,4,,2000,7,0,,0,0,"505,248","1,077,235","2,786,096","17,260",1,1,1,1,1,0.205,0.001,1270,0.96,693,"4,210",5.51,1.218,0.005,214,0.96,"4,210",5.51,A
G,24,1.32,?c,?r?Q,200,146,,1995,12,0,,0,0,"505,248","1,077,235","2,786,096","657,169",1,1,1,1,1,0.205,0.03,33,1.15,"26,380","5,780",0.2,1.218,0.178,6,3.92,"19,701",0.68,C
G,25,1.32,?c,?m?r,100,659,,2005,2,0,,0,0,"505,248","1,077,235","2,786,096","2,965,533",1,1,1,1,1,0.205,0.135,7,3.42,"119,041","25,083",0.19,1.218,0.803,1,21.48,"157,537",1.2,B
G,26,1.32,?c,?r?Q,300,20,,1995,12,0,,0,0,"505,248","1,077,235","2,786,096","90,038",1,1,1,1,1,0.205,0.004,243,0.96,"3,614","4,280",1.07,1.218,0.024,41,1.04,"4,637",1.16,A
G,27,1.32,?c,?r?Q,300,759,,1998,9,0,,0,0,"505,248","1,077,235","2,786,096","3,413,695",1,1,1,1,1,0.205,0.156,6,3.92,"137,031","30,507",0.2,1.218,0.925,1,21.48,"167,163",1.11,B
G,28,1.41,?c,?r?Q,150,632,,1995,12,0,,0,0,"505,248","1,077,235","2,786,096","2,840,148",1,1,1,1,1,0.205,0.13,8,3.05,"114,008","21,987",0.18,1.218,0.769,1,21.48,"154,843",1.23,B
G,29,1.41,?c,?m?r,150,106,,2000,7,0,,0,0,"505,248","1,077,235","2,786,096","474,874",1,1,1,1,1,0.205,0.022,46,0.99,"19,062","4,795",0.23,1.218,0.129,8,3.05,"14,773",0.7,C
G,30,1.41,?c,?r?Q,150,1023,,1996,11,0,,0,0,"505,248","1,077,235","2,786,096","4,601,780",1,1,1,1,1,0.205,0.21,5,4.61,"184,722","41,353",0.2,1.218,1.246,1,21.48,"192,683",0.95,C
G,31,1.41,?c,?m?r,150,82,,1998,9,0,,0,0,"505,248","1,077,235","2,786,096","367,463",1,1,1,1,1,0.205,0.017,60,0.96,"14,751","4,547",0.28,1.218,0.1,10,2.53,"11,982",0.74,C
G,32,1.41,?c,?m?r,150,7,,1998,9,0,,0,0,"505,248","1,077,235","2,786,096","31,353",1,1,1,1,1,0.205,0.001,699,0.96,"1,259","4,224",3.04,1.218,0.008,118,0.96,"4,224",3.04,A
G,33,1.41,?c,?m?r,150,14,,1998,9,0,,0,0,"505,248","1,077,235","2,786,096","62,639",1,1,1,1,1,0.205,0.003,350,0.96,"2,514","4,254",1.54,1.218,0.017,59,0.96,"4,254",1.54,A
G,34,1.41,?c,?m?r,150,11,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","51,591",1,1,1,1,1,0.205,0.002,425,0.96,"2,071","4,243",1.86,1.218,0.014,72,0.96,"4,243",1.86,A
G,35,1.41,?c,?m?r,200,35,,1999,8,0,,0,0,"505,248","1,077,235","2,786,096","157,813",1,1,1,1,1,0.205,0.007,139,0.96,"6,335","4,345",0.62,1.218,0.043,23,1.39,"6,292",0.9,C
G,36,1.41,?c,?r?Q,200,147,,1998,9,0,,0,0,"505,248","1,077,235","2,786,096","661,716",1,1,1,1,1,0.205,0.03,33,1.15,"26,562","5,785",0.2,1.218,0.179,6,3.92,"19,719",0.67,C
G,37,1.41,?c,?m?r,150,8,,1998,9,0,,0,0,"505,248","1,077,235","2,786,096","36,278",1,1,1,1,1,0.205,0.002,604,0.96,"1,456","4,229",2.64,1.218,0.01,102,0.96,"4,229",2.64,A
G,38,1.41,?c,?m?r,200,243,,1998,9,0,,0,0,"505,248","1,077,235","2,786,096","1,093,473",1,1,1,1,1,0.205,0.05,20,1.52,"43,894","8,302",0.17,1.218,0.296,3,7.4,"40,419",0.84,C
G,39,1.41,?c,?m?r,200,168,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","756,121",1,1,1,1,1,0.205,0.034,29,1.23,"30,352","6,303",0.19,1.218,0.205,5,4.61,"23,625",0.71,C
G,40,1.41,?c,?r?Q,300,353,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","1,589,028",1,1,1,1,1,0.205,0.072,14,1.95,"63,786","11,617",0.17,1.218,0.43,2,10.88,"64,819",0.92,C
G,41,1.41,?c,?m?r,200,115,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","518,459",1,1,1,1,1,0.205,0.024,42,1.03,"20,812","5,034",0.22,1.218,0.14,7,3.42,"16,714",0.73,C
G,42,1.08,?c,?m?r,150,708,,1998,9,0,,0,0,"505,248","1,077,235","2,786,096","3,185,279",1,1,1,1,1,0.205,0.145,7,3.42,"127,862","25,834",0.18,1.218,0.863,1,21.48,"162,257",1.15,B
G,43,1.08,?c,?m?r,150,15,,1999,8,0,,0,0,"505,248","1,077,235","2,786,096","65,429",1,1,1,1,1,0.205,0.003,335,0.96,"2,626","4,257",1.47,1.218,0.018,56,0.96,"4,257",1.47,A
G,44,1.08,?c,?m?r,150,305,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","1,370,789",1,1,1,1,1,0.205,0.063,16,1.76,"55,025","10,101",0.17,1.218,0.371,3,7.4,"42,471",0.7,C
G,45,1.08,?c,?m?r,150,2,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","9,558",1,1,1,1,1,0.205,0,2293,0.96,384,"4,203",9.93,1.218,0.003,386,0.96,"4,203",9.93,A
G,46,1.08,?c,?m?r,200,163,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","733,537",1,1,1,1,1,0.205,0.033,30,1.21,"29,445","6,174",0.19,1.218,0.199,5,4.61,"23,521",0.72,C
G,47,1.08,?c,?m?r,200,567,,1998,9,0,,0,0,"505,248","1,077,235","2,786,096","2,548,104",1,1,1,1,1,0.205,0.116,9,2.77,"102,285","19,159",0.17,1.218,0.69,1,21.48,"148,570",1.32,B
G,48,1.32,?c,?m?r,100,69,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","308,337",1,1,1,1,1,0.205,0.014,71,0.96,"12,377","4,490",0.33,1.218,0.084,12,2.19,"10,242",0.75,C
G,49,1.32,?c,?m?r,75,121,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","544,812",1,1,1,1,1,0.205,0.025,40,1.05,"21,870","5,159",0.21,1.218,0.148,7,3.42,"16,804",0.7,C
G,50,1.32,?c,?m?r,100,5,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","20,276",1,1,1,1,1,0.205,0.001,1081,0.96,814,"4,213",4.7,1.218,0.005,182,0.96,"4,213",4.7,A
G,51,1.41,?c,?r?Q,150,3,,1995,12,0,,0,0,"505,248","1,077,235","2,786,096","13,512",1,1,1,1,1,0.205,0.001,1622,0.96,542,"4,207",7.04,1.218,0.004,273,0.96,"4,207",7.04,A
G,52,1.41,?c,?r?Q,200,138,,1995,12,0,,0,0,"505,248","1,077,235","2,786,096","622,277",1,1,1,1,1,0.205,0.028,35,1.12,"24,979","5,590",0.2,1.218,0.169,6,3.92,"19,564",0.71,C
G,53,1.41,?c,?r?Q,300,8,,1995,12,0,,0,0,"505,248","1,077,235","2,786,096","35,329",1,1,1,1,1,0.205,0.002,620,0.96,"1,418","4,228",2.71,1.218,0.01,105,0.96,"4,228",2.71,A
G,54,1.41,?c,?r?Q,300,62,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","277,443",1,1,1,1,1,0.205,0.013,79,0.96,"11,137","4,460",0.36,1.218,0.075,13,2.06,"9,571",0.78,C
G,55,1.41,?c,?r?Q,300,7,,1995,12,0,,0,0,"505,248","1,077,235","2,786,096","31,269",1,1,1,1,1,0.205,0.001,701,0.96,"1,255","4,224",3.05,1.218,0.008,118,0.96,"4,224",3.05,A
G,56,1.08,?c,?r?Q,200,4,,1997,10,0,,0,0,"505,248","1,077,235","2,786,096","17,137",1,1,1,1,1,0.205,0.001,1279,0.96,688,"4,210",5.55,1.218,0.005,215,0.96,"4,210",5.55,A
G,57,1.32,?c,?s,150,2582,1990,1983,24,0,,4,0,"505,248","1,077,235","2,786,096","11,612,198",1,1,1,1,1,1.969,5.085,0,21.48,"466,130","343,267",0.67,1.969,5.085,0,21.48,"343,267",0.67,C
G,58,1.32,?c,?s,150,73,,1984,23,0,,0,0,"505,248","1,077,235","2,786,096","326,965",1,1,1,1,1,0.205,0.015,67,0.96,"13,125","4,508",0.31,1.218,0.089,11,2.35,"11,035",0.76,C
G,59,1.32,?c,?s,150,339,,0,2007,0,,0,0,"505,248","1,077,235","2,786,096","1,522,459",1,1,1,1,1,0.205,0.069,14,1.95,"61,114","11,488",0.17,1.218,0.412,2,10.88,"64,094",0.95,C
G,60,0.81,?c,?j,200,3,,1997,10,0,,0,"1,610,800","505,248","1,077,235","2,786,096","11,967",1,1,1,1,1,0.205,0.001,1832,0.96,480,"5,752",10.87,1.218,0.003,309,0.96,"5,752",10.87,A
G,61,1.24,?c,?m?r,150,427,,2004,3,0,,0,0,"505,248","1,077,235","2,786,096","1,918,798",1,1,1,1,1,0.205,0.088,11,2.35,"77,023","14,775",0.17,1.218,0.52,2,10.88,"68,407",0.81,C
G,62,1.32,?c,?`,150,155,,1983,24,0,,0,0,"505,248","1,077,235","2,786,096","697,255",1,1,1,1,1,0.205,0.032,31,1.19,"27,989","6,028",0.2,1.218,0.189,5,4.61,"23,353",0.76,C
G,63,1.32,?c,?`,200,244,,1983,24,0,,0,0,"505,248","1,077,235","2,786,096","1,099,040",1,1,1,1,1,0.205,0.05,20,1.52,"44,117","8,311",0.17,1.218,0.298,3,7.4,"40,460",0.83,C
G,64,1.32,?c,?s,150,16,,1989,18,0,,0,0,"505,248","1,077,235","2,786,096","72,412",1,1,1,1,1,0.205,0.003,303,0.96,"2,907","4,263",1.33,1.218,0.02,51,0.96,"4,263",1.33,A
G,65,1.32,?c,?s,150,347,,0,2007,0,,0,0,"505,248","1,077,235","2,786,096","1,560,990",1,1,1,1,1,0.205,0.071,14,1.95,"62,660","11,563",0.17,1.218,0.423,2,10.88,"64,514",0.93,C
G,66,1.32,?c,?`,150,62,,1983,24,0,,0,0,"505,248","1,077,235","2,786,096","279,899",1,1,1,1,1,0.205,0.013,78,0.96,"11,236","4,463",0.36,1.218,0.076,13,2.06,"9,576",0.77,C
G,67,1.03,?c,?s,100,4,,1989,18,0,,0,0,"505,248","1,077,235","2,786,096","19,564",1,1,1,1,1,0.205,0.001,1120,0.96,785,"4,213",4.87,1.218,0.005,189,0.96,"4,213",4.87,A
G,68,1.03,?c,?s,100,4,,1989,18,0,,0,0,"505,248","1,077,235","2,786,096","18,142",1,1,1,1,1,0.205,0.001,1208,0.96,728,"4,211",5.25,1.218,0.005,204,0.96,"4,211",5.25,A
G,69,1.32,?c,?j,100,4,,2000,7,0,,0,0,"505,248","1,077,235","2,786,096","16,987",1,1,1,1,1,0.205,0.001,1290,0.96,682,"4,210",5.6,1.218,0.005,217,0.96,"4,210",5.6,A
G,70,1.32,?c,?j,200,5,,2000,7,0,,0,0,"505,248","1,077,235","2,786,096","21,327",1,1,1,1,1,0.205,0.001,1028,0.96,856,"4,214",4.47,1.218,0.006,173,0.96,"4,214",4.47,A
G,71,1.4,?c,?`,300,1884,1995,1983,24,0,,1,"2,954,136","505,248","1,077,235","2,786,096","8,472,078",1,1,1,1,1,1.218,2.294,0,21.48,"340,081","339,272",0.91,1.746,3.289,0,21.48,"339,272",0.91,C
G,72,1.4,?c,?r?Q,300,857,,2000,7,0,,0,0,"505,248","1,077,235","2,786,096","3,852,535",1,1,1,1,1,0.205,0.176,6,3.92,"154,646","32,227",0.19,1.218,1.043,1,21.48,"176,590",1.04,B
G,73,1.43,?c,?j,150,2,,2006,1,0,,0,"1,610,800","505,248","1,077,235","2,786,096","11,072",1,1,1,1,1,0.205,0.001,1980,0.96,444,"5,751",11.75,1.218,0.003,333,0.96,"5,751",11.75,A
G,74,1.43,?c,?m?r,200,523,,2006,1,0,,0,"1,610,800","505,248","1,077,235","2,786,096","2,350,730",1,1,1,1,1,0.205,0.107,9,2.77,"94,362","23,074",0.22,1.218,0.637,2,10.88,"90,632",0.87,C
G,75,1.43,?c,?s,150,358,,1991,16,0,,0,"1,610,800","505,248","1,077,235","2,786,096","1,611,495",1,1,1,1,1,0.205,0.074,14,1.95,"64,688","14,802",0.21,1.218,0.436,2,10.88,"82,589",1.16,B
G,76,1.24,?c,?j,150,3,,2004,3,0,,0,0,"505,248","1,077,235","2,786,096","14,401",1,1,1,1,1,0.205,0.001,1522,0.96,578,"4,208",6.61,1.218,0.004,256,0.96,"4,208",6.61,A
G,77,1.24,?c,?s,150,485,,1986,21,0,,0,0,"505,248","1,077,235","2,786,096","2,180,573",1,1,1,1,1,0.205,0.099,10,2.53,"87,531","16,569",0.17,1.218,0.591,2,10.88,"71,255",0.74,C
G,78,1.24,?c,?m?r,100,7,,2004,3,0,,0,0,"505,248","1,077,235","2,786,096","31,476",1,1,1,1,1,0.205,0.001,696,0.96,"1,263","4,224",3.03,1.218,0.009,117,0.96,"4,224",3.03,A
G,79,1.24,?c,?m?r,150,144,,2004,3,0,,0,0,"505,248","1,077,235","2,786,096","649,057",1,1,1,1,1,0.205,0.03,34,1.14,"26,054","5,720",0.2,1.218,0.176,6,3.92,"19,669",0.69,C
G,80,1.24,?c,?m?r,100,10,,2004,3,0,,0,0,"505,248","1,077,235","2,786,096","44,971",1,1,1,1,1,0.205,0.002,487,0.96,"1,805","4,237",2.13,1.218,0.012,82,0.96,"4,237",2.13,A
G,81,0.99,?c,?j,150,6,,2004,3,0,,0,0,"505,248","1,077,235","2,786,096","28,599",1,1,1,1,1,0.205,0.001,766,0.96,"1,148","4,221",3.34,1.218,0.008,129,0.96,"4,221",3.34,A
G,82,1.24,?c,?m?r,200,400,,2004,3,0,,0,0,"505,248","1,077,235","2,786,096","1,798,188",1,1,1,1,1,0.205,0.082,12,2.19,"72,182","13,505",0.17,1.218,0.487,2,10.88,"67,094",0.84,C
G,83,1.03,?c,?s,100,7,,1989,18,0,,0,0,"505,248","1,077,235","2,786,096","30,458",1,1,1,1,1,0.205,0.001,720,0.96,"1,223","4,223",3.13,1.218,0.008,121,0.96,"4,223",3.13,A
G,84,1.43,?c,?s,200,2,,1987,20,0,,0,0,"505,248","1,077,235","2,786,096","8,434",1,1,1,1,1,0.205,0,2599,0.96,339,"4,202",11.25,1.218,0.002,438,0.96,"4,202",11.25,A
G,85,1.43,?c,?m?r,200,322,,2005,2,0,,0,"1,610,800","505,248","1,077,235","2,786,096","1,450,116",1,1,1,1,1,0.205,0.066,15,1.85,"58,210","13,745",0.21,1.218,0.393,3,7.4,"54,978",0.86,C
G,86,1.43,?c,?s,200,13,,1992,15,0,,0,"1,610,800","505,248","1,077,235","2,786,096","57,989",1,1,1,1,1,0.205,0.003,378,0.96,"2,328","5,796",2.26,1.218,0.016,64,0.96,"5,796",2.26,A
G,87,1.43,?c,?`,300,333,1993,1982,25,0,,1,"1,610,800","505,248","1,077,235","2,786,096","1,496,260",1,1,1,1,1,1.218,0.405,2,10.88,"60,062","81,335",1.23,1.746,0.581,2,10.88,"81,335",1.23,A
G,88,1.43,?c,?s,200,131,,1992,15,0,,0,"1,610,800","505,248","1,077,235","2,786,096","588,716",1,1,1,1,1,0.205,0.027,37,1.09,"23,632","7,159",0.27,1.218,0.159,6,3.92,"25,747",0.99,C
G,89,1.43,?c,?s,150,1,,1992,15,0,,0,"1,610,800","505,248","1,077,235","2,786,096","4,129",1,1,1,1,1,0.205,0,5309,0.96,166,"5,744",31.4,1.218,0.001,894,0.96,"5,744",31.4,A
G,90,1.43,?c,?s,150,3,,1991,16,0,,0,"1,610,800","505,248","1,077,235","2,786,096","12,093",1,1,1,1,1,0.205,0.001,1813,0.96,485,"5,752",10.76,1.218,0.003,305,0.96,"5,752",10.76,A
G,91,1.47,?c,?r?Q,300,617,,1998,9,0,,0,"2,954,136","505,248","1,077,235","2,786,096","2,774,370",1,1,1,1,1,0.205,0.127,8,3.05,"111,367","30,796",0.25,1.218,0.751,1,21.48,"216,885",1.77,B
G,92,1.47,?c,?`,300,34,,1976,31,0,,0,"1,610,800","505,248","1,077,235","2,786,096","152,590",1,1,1,1,1,0.205,0.007,144,0.96,"6,125","5,887",0.87,1.218,0.041,24,1.35,"8,278",1.23,B
G,93,1.47,?c,?`,300,25,,1980,27,0,,0,"1,610,800","505,248","1,077,235","2,786,096","110,964",1,1,1,1,1,0.205,0.005,198,0.96,"4,454","5,847",1.19,1.218,0.03,33,1.15,"7,004",1.43,A
G,94,1.43,?c,?s,200,77,,1981,26,0,,0,"1,610,800","505,248","1,077,235","2,786,096","345,148",1,1,1,1,1,0.205,0.016,64,0.96,"13,855","6,072",0.4,1.218,0.093,11,2.35,"14,863",0.97,C
G,95,1.43,?c,?j,200,3,,1997,10,0,,0,"1,610,800","505,248","1,077,235","2,786,096","11,673",1,1,1,1,1,0.205,0.001,1878,0.96,469,"5,751",11.13,1.218,0.003,316,0.96,"5,751",11.13,A
G,96,1.43,?c,?j,100,9,,1997,10,0,,0,"1,610,800","505,248","1,077,235","2,786,096","41,281",1,1,1,1,1,0.205,0.002,531,0.96,"1,657","5,780",3.17,1.218,0.011,89,0.96,"5,780",3.17,A
G,97,1.43,?c,?j,300,7,,2005,2,0,,0,"1,610,800","505,248","1,077,235","2,786,096","31,133",1,1,1,1,1,0.205,0.001,704,0.96,"1,250","5,770",4.19,1.218,0.008,119,0.96,"5,770",4.19,A
G,98,1.43,?c,?j,300,4,,2005,2,0,,0,"1,610,800","505,248","1,077,235","2,786,096","16,346",1,1,1,1,1,0.205,0.001,1341,0.96,656,"5,756",7.96,1.218,0.004,226,0.96,"5,756",7.96,A
G,99,1.43,?c,?m?r,100,5,,2005,2,0,,0,"1,610,800","505,248","1,077,235","2,786,096","22,836",1,1,1,1,1,0.205,0.001,960,0.96,917,"5,762",5.7,1.218,0.006,162,0.96,"5,762",5.7,A
G,100,1.43,?c,?j,300,431,,1992,15,0,,0,"1,610,800","505,248","1,077,235","2,786,096","1,939,961",1,1,1,1,1,0.205,0.088,11,2.35,"77,873","18,610",0.22,1.218,0.525,2,10.88,"86,162",1,B
G,101,1.43,?c,?s,200,13,,1986,21,0,,0,"1,610,800","505,248","1,077,235","2,786,096","56,782",1,1,1,1,1,0.205,0.003,386,0.96,"2,279","5,795",2.31,1.218,0.015,65,0.96,"5,795",2.31,A
G,102,1.43,?c,?`,300,8,,1986,21,0,,0,"1,610,800","505,248","1,077,235","2,786,096","34,393",1,1,1,1,1,0.205,0.002,637,0.96,"1,381","5,773",3.79,1.218,0.009,107,0.96,"5,773",3.79,A
G,103,1.43,?c,?m?r,150,7,,2005,2,0,,0,"1,610,800","505,248","1,077,235","2,786,096","30,860",1,1,1,1,1,0.205,0.001,710,0.96,"1,239","5,770",4.23,1.218,0.008,120,0.96,"5,770",4.23,A
G,104,1.43,?c,?`,300,37,,1977,30,0,,0,0,"505,248","1,077,235","2,786,096","164,564",1,1,1,1,1,0.205,0.008,133,0.96,"6,606","4,352",0.6,1.218,0.045,22,1.43,"6,482",0.89,C
G,105,1.43,?c,?s,200,4,,1992,15,0,,0,"1,610,800","505,248","1,077,235","2,786,096","16,770",1,1,1,1,1,0.205,0.001,1307,0.96,673,"5,756",7.76,1.218,0.005,220,0.96,"5,756",7.76,A
G,106,1.43,?c,?r?Q,300,159,,1999,8,0,,0,"2,954,136","505,248","1,077,235","2,786,096","714,857",1,1,1,1,1,0.205,0.033,31,1.19,"28,695","9,565",0.3,1.218,0.194,5,4.61,"37,053",1.17,B
G,107,1.43,?c,?r?Q,300,13,,1999,8,0,,0,"2,954,136","505,248","1,077,235","2,786,096","58,169",1,1,1,1,1,0.205,0.003,377,0.96,"2,335","7,086",2.75,1.218,0.016,63,0.96,"7,086",2.75,A
G,108,1.43,?c,?j,200,4,,1999,8,0,,0,"1,610,800","505,248","1,077,235","2,786,096","18,677",1,1,1,1,1,0.205,0.001,1174,0.96,750,"5,758",6.97,1.218,0.005,198,0.96,"5,758",6.97,A
