ward,no.,??Åfl,material,joint,diameter,length(m),leakage year,construction year,??ê›ÅhNêÅh,çXê∂ÅhNÅgx,çXê∂??? ,???ÃçÅˆ?v?èêÅh,Ågπ?H??Åf Åh??Q?zÅiÅÒ~Åj,?s?ØÅg??÷?ÃÅh??Q?zÅiÅÒ~Åj,ÅffêÅcÅh??Q?zÅiÅÒ~Åj,èCÅeUÅh??pÅiÅÒ~Åj,?RêÅcÅeπ?∏(ÅÒ~Åj,?O? ?ÅcêH??ê≥?WêÅh,Åg?? ?ÅcêH??ê≥?WêÅh,?zê›ÅhNÅgx??ê≥?WêÅh,?p????ê≥?WêÅh,???a??ê≥?WêÅh,ÅÒﬂ???Ã???Ã??RL(??Åj,???ÃÅh≠ê∂?\Åe™?ÆRN,RN?Ã?têÅh,?÷ÅÒv?Ã?∑?Z?WêÅh,Åh??pÅiê?ÅÒ~Åj,?÷ÅÒvÅiê?ÅÒ~Åj,Åh??p?÷ÅÒvÅh?,ÅÒﬂ???Ã???Ã??RL(??+1Åj,???ÃÅh≠ê∂?\Åe™?ÆRN',RN'?Ã?têÅh,?÷ÅÒv?Ã?∑?Z?WêÅh(2),?÷ÅÒv(2)Åiê?ÅÒ~Åj,Åh??p?÷ÅÒvÅh?(2),?ÅÒ?Åg?N
A,11,0.69,?c,?s,150,4,,1973,34,0,,0,"2,954,136","505,248","1,077,235","2,786,096","17,269",1,1,1,1,1,0.205,0.001,1269,0.96,693,"7,046",9.23,1.218,0.005,214,0.96,"7,046",9.23,A
A,12,0.69,?c,?s,150,6,,1988,19,0,,0,"2,954,136","505,248","1,077,235","2,786,096","25,839",1,1,1,1,1,0.205,0.001,848,0.96,"1,037","7,055",6.17,1.218,0.007,143,0.96,"7,055",6.17,A
A,13,0.69,?c,?s,100,3,,1981,26,0,,0,"2,954,136","505,248","1,077,235","2,786,096","14,853",1,1,1,1,1,0.205,0.001,1476,0.96,596,"7,044",10.72,1.218,0.004,249,0.96,"7,044",10.72,A
A,14,0.69,?c,?s,150,84,,1981,26,0,,0,"133,758","505,248","1,077,235","2,786,096","377,152",1,1,1,1,1,0.205,0.017,58,0.96,"15,139","4,684",0.28,1.218,0.102,10,2.53,"12,345",0.74,C
A,15,0.69,?c,?`,300,7,,1976,31,0,,0,"2,954,136","505,248","1,077,235","2,786,096","31,999",1,1,1,1,1,0.205,0.001,685,0.96,"1,284","7,061",4.99,1.218,0.009,115,0.96,"7,061",4.99,A
A,16,0.69,?c,?s,200,90,,1988,19,0,,0,"2,954,136","505,248","1,077,235","2,786,096","404,129",1,1,1,1,1,0.205,0.018,54,0.96,"16,222","7,418",0.41,1.218,0.109,9,2.77,"21,403",1.2,B
A,17,1.24,?c,?s,200,5,,1984,23,0,,0,"1,610,800","505,248","1,077,235","2,786,096","21,209",1,1,1,1,1,0.205,0.001,1034,0.96,851,"5,761",6.14,1.218,0.006,174,0.96,"5,761",6.14,A
A,18,1.15,?c,?s,100,255,,1990,17,0,,0,"53,133","505,248","1,077,235","2,786,096","1,147,517",1,1,1,1,1,0.205,0.052,19,1.58,"46,063","8,799",0.17,1.218,0.311,3,7.4,"41,212",0.81,C
A,19,1.15,?c,?s,100,15,1987,1987,20,0,,1,"53,133","505,248","1,077,235","2,786,096","68,866",1,1,1,1,1,1.218,0.019,54,0.96,"2,764","4,311",1.42,1.746,0.027,37,1.09,"4,895",1.61,A
A,20,1.15,?c,?s,150,9,,1975,32,0,,0,"2,954,136","505,248","1,077,235","2,786,096","41,495",1,1,1,1,1,0.205,0.002,528,0.96,"1,666","7,070",3.85,1.218,0.011,89,0.96,"7,070",3.85,A
A,21,1.15,?c,?s,150,17,,1995,12,0,,0,"2,954,136","505,248","1,077,235","2,786,096","74,232",1,1,1,1,1,0.205,0.003,295,0.96,"2,980","7,101",2.16,1.218,0.02,50,0.96,"7,101",2.16,A
A,22,1.15,?c,?s,150,213,,1984,23,0,,0,"53,133","505,248","1,077,235","2,786,096","957,892",1,1,1,1,1,0.205,0.044,23,1.39,"38,451","7,478",0.18,1.218,0.259,4,5.66,"30,449",0.72,C
A,23,0.69,?c,?`,300,13,,1974,33,0,,0,"53,133","505,248","1,077,235","2,786,096","58,422",1,1,1,1,1,0.205,0.003,375,0.96,"2,345","4,301",1.66,1.218,0.016,63,0.96,"4,301",1.66,A
A,24,0.69,?c,?`,300,23,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","105,646",1,1,1,1,1,0.205,0.005,207,0.96,"4,241","4,346",0.93,1.218,0.029,35,1.12,"5,071",1.09,B
A,25,0.69,?c,?`,100,14,,0,2007,0,,0,"53,133","505,248","1,077,235","2,786,096","61,299",1,1,1,1,1,0.205,0.003,358,0.96,"2,461","4,304",1.59,1.218,0.017,60,0.96,"4,304",1.59,A
A,26,0.69,?c,?s,100,7,,1974,33,0,,0,"53,133","505,248","1,077,235","2,786,096","33,644",1,1,1,1,1,0.205,0.002,652,0.96,"1,351","4,277",2.87,1.218,0.009,110,0.96,"4,277",2.87,A
A,27,1.03,?c,?s,200,12,,1984,23,0,,0,"2,954,136","505,248","1,077,235","2,786,096","53,414",1,1,1,1,1,0.205,0.002,410,0.96,"2,144","7,081",3,1.218,0.014,69,0.96,"7,081",3,A
A,28,0.69,?c,?`,100,2,,1978,29,0,,0,"1,610,800","505,248","1,077,235","2,786,096","9,523",1,1,1,1,1,0.205,0,2302,0.96,382,"5,749",13.66,1.218,0.003,388,0.96,"5,749",13.66,A
A,29,0.69,?c,?s,200,13,,1978,29,0,,0,"1,610,800","505,248","1,077,235","2,786,096","58,203",1,1,1,1,1,0.205,0.003,377,0.96,"2,336","5,796",2.25,1.218,0.016,63,0.96,"5,796",2.25,A
A,30,0.69,?c,?`,150,10,,1978,29,0,,0,"1,610,800","505,248","1,077,235","2,786,096","45,595",1,1,1,1,1,0.205,0.002,481,0.96,"1,830","5,784",2.87,1.218,0.012,81,0.96,"5,784",2.87,A
A,31,1.03,?c,?s,150,2,,1984,23,0,,0,"1,610,800","505,248","1,077,235","2,786,096","7,501",1,1,1,1,1,0.205,0,2922,0.96,301,"5,747",17.33,1.218,0.002,492,0.96,"5,747",17.33,A
A,32,1.03,?c,?j,200,15,,2000,7,0,,0,"2,954,136","505,248","1,077,235","2,786,096","65,677",1,1,1,1,1,0.205,0.003,334,0.96,"2,636","7,093",2.44,1.218,0.018,56,0.96,"7,093",2.44,A
A,33,0.9,?c,?m?r,200,244,,2000,7,0,,0,"1,610,800","505,248","1,077,235","2,786,096","1,097,281",1,1,1,1,1,0.205,0.05,20,1.52,"44,046","10,757",0.22,1.218,0.297,3,7.4,"52,367",1.08,B
A,34,1.03,?c,?j,200,4,,2006,1,0,,0,"1,610,800","505,248","1,077,235","2,786,096","18,506",1,1,1,1,1,0.205,0.001,1185,0.96,743,"5,758",7.03,1.218,0.005,200,0.96,"5,758",7.03,A
A,35,1.03,?c,?`,100,18,,1977,30,0,,0,"2,954,136","505,248","1,077,235","2,786,096","79,611",1,1,1,1,1,0.205,0.004,275,0.96,"3,196","7,106",2.02,1.218,0.022,46,0.99,"7,328",2.08,A
A,36,1.03,?c,?`,150,2,,1977,30,0,,0,"2,954,136","505,248","1,077,235","2,786,096","10,002",1,1,1,1,1,0.205,0,2192,0.96,402,"7,039",15.89,1.218,0.003,369,0.96,"7,039",15.89,A
A,37,1.03,?c,?s,150,383,,1977,30,0,,0,"133,758","505,248","1,077,235","2,786,096","1,722,441",1,1,1,1,1,0.205,0.079,13,2.06,"69,141","12,823",0.17,1.218,0.466,2,10.88,"67,726",0.89,C
A,38,1.21,?c,?s,150,162,,1971,36,0,,0,"133,758","505,248","1,077,235","2,786,096","729,553",1,1,1,1,1,0.205,0.033,30,1.21,"29,285","6,331",0.2,1.218,0.198,5,4.61,"24,119",0.75,C
A,39,1.21,?c,?s,150,161,,1971,36,0,,0,"133,758","505,248","1,077,235","2,786,096","723,617",1,1,1,1,1,0.205,0.033,30,1.21,"29,047","6,323",0.2,1.218,0.196,5,4.61,"24,092",0.75,C
A,40,0.9,?c,?s,150,5,,1977,30,0,,0,"53,133","505,248","1,077,235","2,786,096","24,647",1,1,1,1,1,0.205,0.001,889,0.96,989,"4,269",3.92,1.218,0.007,150,0.96,"4,269",3.92,A
A,41,0.9,?c,?s,100,36,,1973,34,0,,0,"53,133","505,248","1,077,235","2,786,096","163,657",1,1,1,1,1,0.205,0.007,134,0.96,"6,569","4,402",0.61,1.218,0.044,23,1.39,"6,374",0.88,C
A,42,1.03,?c,?s,100,7,,1977,30,0,,0,"133,758","505,248","1,077,235","2,786,096","32,156",1,1,1,1,1,0.205,0.001,682,0.96,"1,291","4,353",3.06,1.218,0.009,115,0.96,"4,353",3.06,A
A,43,1.03,?c,?m?r,150,92,,2001,6,0,,0,"2,954,136","505,248","1,077,235","2,786,096","412,604",1,1,1,1,1,0.205,0.019,53,0.96,"16,563","7,426",0.41,1.218,0.112,9,2.77,"21,427",1.17,B
A,44,0.9,?c,?`,200,7,,1966,41,0,,0,"2,954,136","505,248","1,077,235","2,786,096","33,609",1,1,1,1,1,0.205,0.002,652,0.96,"1,349","7,062",4.75,1.218,0.009,110,0.96,"7,062",4.75,A
A,45,1.21,?c,?s,100,31,,1974,33,0,,0,"2,954,136","505,248","1,077,235","2,786,096","139,113",1,1,1,1,1,0.205,0.006,158,0.96,"5,584","7,163",1.16,1.218,0.038,27,1.27,"9,477",1.54,A
A,46,0.9,?c,?`,200,8,,1966,41,0,,0,"133,758","505,248","1,077,235","2,786,096","34,555",1,1,1,1,1,0.205,0.002,634,0.96,"1,387","4,355",2.85,1.218,0.009,107,0.96,"4,355",2.85,A
A,47,1.21,?c,?`,300,410,,1966,41,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,845,578",1,1,1,1,1,0.205,0.084,12,2.19,"74,084","20,079",0.25,1.218,0.5,2,10.88,"99,751",1.22,B
A,48,1.03,?c,?`,150,116,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","522,596",1,1,1,1,1,0.205,0.024,42,1.03,"20,978","5,093",0.22,1.218,0.142,7,3.42,"16,910",0.73,C
A,49,0.9,?c,?`,200,6,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","25,780",1,1,1,1,1,0.205,0.001,850,0.96,"1,035","4,270",3.74,1.218,0.007,143,0.96,"4,270",3.74,A
A,50,1.21,?c,?s,150,422,,1975,32,0,,0,"133,758","505,248","1,077,235","2,786,096","1,896,376",1,1,1,1,1,0.205,0.087,12,2.19,"76,123","14,013",0.17,1.218,0.514,2,10.88,"69,618",0.83,C
A,51,1.03,?c,?`,100,1,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","6,543",1,1,1,1,1,0.205,0,3350,0.96,263,"4,251",14.67,1.218,0.002,564,0.96,"4,251",14.67,A
A,52,0.9,?c,?`,300,3,,1974,33,0,,0,"2,954,136","505,248","1,077,235","2,786,096","13,698",1,1,1,1,1,0.205,0.001,1600,0.96,550,"7,043",11.62,1.218,0.004,270,0.96,"7,043",11.62,A
A,53,0.9,?c,?j,300,3,,1998,9,0,,0,"53,133","505,248","1,077,235","2,786,096","12,957",1,1,1,1,1,0.205,0.001,1692,0.96,520,"4,257",7.43,1.218,0.004,285,0.96,"4,257",7.43,A
A,54,1.03,?c,?m?r,150,110,,2006,1,0,,0,"1,610,800","505,248","1,077,235","2,786,096","492,646",1,1,1,1,1,0.205,0.022,44,1.01,"19,776","6,537",0.3,1.218,0.133,7,3.42,"22,134",1.02,B
A,55,1.03,?c,?s,200,2,,1977,30,0,,0,"53,133","505,248","1,077,235","2,786,096","8,609",1,1,1,1,1,0.205,0,2546,0.96,346,"4,253",11.15,1.218,0.002,429,0.96,"4,253",11.15,A
A,56,1.15,?c,?m?r,150,59,,2006,1,0,,0,"1,610,800","505,248","1,077,235","2,786,096","265,645",1,1,1,1,1,0.205,0.012,83,0.96,"10,663","5,995",0.51,1.218,0.072,14,1.95,"12,178",1.04,B
A,57,1.21,?c,?`,200,2,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","8,673",1,1,1,1,1,0.205,0,2527,0.96,348,"4,253",11.09,1.218,0.002,426,0.96,"4,253",11.09,A
A,58,1.21,?c,?`,200,2,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","8,825",1,1,1,1,1,0.205,0,2484,0.96,354,"4,253",10.9,1.218,0.002,418,0.96,"4,253",10.9,A
A,59,1.03,?c,?`,200,8,,1966,41,0,,0,"2,954,136","505,248","1,077,235","2,786,096","36,637",1,1,1,1,1,0.205,0.002,598,0.96,"1,471","7,065",4.36,1.218,0.01,101,0.96,"7,065",4.36,A
A,60,1.21,?c,?`,100,8,,1974,33,0,,0,"133,758","505,248","1,077,235","2,786,096","35,018",1,1,1,1,1,0.205,0.002,626,0.96,"1,406","4,356",2.81,1.218,0.009,105,0.96,"4,356",2.81,A
A,61,1.03,?c,?j,100,5,,2006,1,0,,0,"53,133","505,248","1,077,235","2,786,096","22,024",1,1,1,1,1,0.205,0.001,995,0.96,884,"4,266",4.38,1.218,0.006,168,0.96,"4,266",4.38,A
A,62,1.15,?c,?j,100,5,,2006,1,0,,0,"53,133","505,248","1,077,235","2,786,096","23,305",1,1,1,1,1,0.205,0.001,941,0.96,935,"4,267",4.14,1.218,0.006,158,0.96,"4,267",4.14,A
A,63,0.9,?c,?`,300,95,,1966,41,0,,0,"2,954,136","505,248","1,077,235","2,786,096","425,088",1,1,1,1,1,0.205,0.019,52,0.96,"17,064","7,438",0.4,1.218,0.115,9,2.77,"21,461",1.14,B
A,64,0.9,?c,?j,100,2,,1998,9,0,,0,"53,133","505,248","1,077,235","2,786,096","7,382",1,1,1,1,1,0.205,0,2969,0.96,296,"4,252",13.04,1.218,0.002,500,0.96,"4,252",13.04,A
A,65,1.03,?c,?j,100,7,,2001,6,0,,0,"2,954,136","505,248","1,077,235","2,786,096","31,237",1,1,1,1,1,0.205,0.001,702,0.96,"1,254","7,060",5.11,1.218,0.008,118,0.96,"7,060",5.11,A
A,66,1.03,?c,?j,150,9,,2001,6,0,,0,"2,954,136","505,248","1,077,235","2,786,096","40,894",1,1,1,1,1,0.205,0.002,536,0.96,"1,642","7,069",3.91,1.218,0.011,90,0.96,"7,069",3.91,A
A,67,0.9,?c,?`,300,11,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","49,382",1,1,1,1,1,0.205,0.002,444,0.96,"1,982","4,292",1.97,1.218,0.013,75,0.96,"4,292",1.97,A
A,68,0.9,?c,?`,200,1,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","5,018",1,1,1,1,1,0.205,0,4369,0.96,201,"4,250",19.19,1.218,0.001,736,0.96,"4,250",19.19,A
A,69,1.15,?c,?s,150,64,,1988,19,0,,0,"53,133","505,248","1,077,235","2,786,096","287,589",1,1,1,1,1,0.205,0.013,76,0.96,"11,544","4,521",0.36,1.218,0.078,13,2.06,"9,701",0.76,C
A,70,1.04,?c,?s,150,103,,1978,29,0,,0,0,"505,248","1,077,235","2,786,096","464,810",1,1,1,1,1,0.205,0.021,47,0.98,"18,658","4,737",0.23,1.218,0.126,8,3.05,"14,742",0.72,C
A,71,1.04,?c,?s,100,19,,1975,32,0,,0,"1,610,800","505,248","1,077,235","2,786,096","83,970",1,1,1,1,1,0.205,0.004,261,0.96,"3,371","5,821",1.57,1.218,0.023,44,1.01,"6,124",1.65,A
A,72,1.03,?c,?m?r,150,12,,2000,7,0,,0,"1,610,800","505,248","1,077,235","2,786,096","54,452",1,1,1,1,1,0.205,0.002,403,0.96,"2,186","5,792",2.4,1.218,0.015,68,0.96,"5,792",2.4,A
A,73,0.69,?c,?s,100,12,,1975,32,0,,0,"1,610,800","505,248","1,077,235","2,786,096","56,001",1,1,1,1,1,0.205,0.003,391,0.96,"2,248","5,794",2.34,1.218,0.015,66,0.96,"5,794",2.34,A
A,74,1.04,?c,?`,100,8,,1977,30,0,,0,"53,133","505,248","1,077,235","2,786,096","35,141",1,1,1,1,1,0.205,0.002,624,0.96,"1,411","4,279",2.75,1.218,0.01,105,0.96,"4,279",2.75,A
A,75,1.21,?c,?s,200,4,,1984,23,0,,0,"1,610,800","505,248","1,077,235","2,786,096","17,944",1,1,1,1,1,0.205,0.001,1222,0.96,720,"5,757",7.26,1.218,0.005,206,0.96,"5,757",7.26,A
A,76,1.21,?c,?`,200,7,,1966,41,0,,0,"1,610,800","505,248","1,077,235","2,786,096","31,426",1,1,1,1,1,0.205,0.001,698,0.96,"1,261","5,770",4.15,1.218,0.009,117,0.96,"5,770",4.15,A
A,77,1.21,?c,?s,200,14,,1984,23,0,,0,"1,610,800","505,248","1,077,235","2,786,096","61,182",1,1,1,1,1,0.205,0.003,358,0.96,"2,456","5,799",2.14,1.218,0.017,60,0.96,"5,799",2.14,A
A,78,1.21,?c,?`,200,7,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","32,331",1,1,1,1,1,0.205,0.001,678,0.96,"1,298","4,276",2.99,1.218,0.009,114,0.96,"4,276",2.99,A
A,79,1.21,?c,?`,200,9,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","42,642",1,1,1,1,1,0.205,0.002,514,0.96,"1,712","4,286",2.27,1.218,0.012,87,0.96,"4,286",2.27,A
A,80,1.21,?c,?`,200,3,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","13,800",1,1,1,1,1,0.205,0.001,1588,0.96,554,"4,258",6.97,1.218,0.004,268,0.96,"4,258",6.97,A
A,81,1.21,?c,?`,200,4,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","17,691",1,1,1,1,1,0.205,0.001,1239,0.96,710,"4,262",5.45,1.218,0.005,209,0.96,"4,262",5.45,A
A,82,1.04,?c,?s,100,35,,1975,32,0,,0,"1,610,800","505,248","1,077,235","2,786,096","157,639",1,1,1,1,1,0.205,0.007,139,0.96,"6,328","5,892",0.84,1.218,0.043,23,1.39,"8,530",1.22,B
A,83,1.04,?c,?s,100,8,,1975,32,0,,0,"1,610,800","505,248","1,077,235","2,786,096","35,637",1,1,1,1,1,0.205,0.002,615,0.96,"1,431","5,774",3.66,1.218,0.01,104,0.96,"5,774",3.66,A
A,84,1.21,?c,?s,150,15,,1976,31,0,,0,"1,610,800","505,248","1,077,235","2,786,096","66,372",1,1,1,1,1,0.205,0.003,330,0.96,"2,664","5,804",1.98,1.218,0.018,56,0.96,"5,804",1.98,A
A,85,1.04,?c,?s,150,3,,1978,29,0,,0,"53,133","505,248","1,077,235","2,786,096","11,271",1,1,1,1,1,0.205,0.001,1945,0.96,452,"4,256",8.54,1.218,0.003,328,0.96,"4,256",8.54,A
A,86,1.04,?c,?s,150,3,20073,1978,29,0,,0,"53,133","505,248","1,077,235","2,786,096","13,387",1,1,1,1,1,0.205,0.001,1637,0.96,537,"4,258",7.2,1.218,0.004,276,0.96,"4,258",7.2,A
A,87,1.04,?c,?s,100,8,,1978,29,0,,0,"53,133","505,248","1,077,235","2,786,096","36,022",1,1,1,1,1,0.205,0.002,609,0.96,"1,446","4,279",2.69,1.218,0.01,103,0.96,"4,279",2.69,A
A,88,1.04,?c,?s,100,3,,1978,29,0,,0,"53,133","505,248","1,077,235","2,786,096","13,789",1,1,1,1,1,0.205,0.001,1590,0.96,554,"4,258",6.97,1.218,0.004,268,0.96,"4,258",6.97,A
A,89,1.04,?c,?s,100,3,,1978,29,0,,0,0,"505,248","1,077,235","2,786,096","11,700",1,1,1,1,1,0.205,0.001,1873,0.96,470,"4,205",8.12,1.218,0.003,316,0.96,"4,205",8.12,A
A,90,1.04,?c,?s,100,3,,1978,29,0,,0,0,"505,248","1,077,235","2,786,096","11,338",1,1,1,1,1,0.205,0.001,1933,0.96,455,"4,205",8.39,1.218,0.003,326,0.96,"4,205",8.39,A
A,91,1.04,?c,?s,100,3,,1978,29,0,,0,"53,133","505,248","1,077,235","2,786,096","13,775",1,1,1,1,1,0.205,0.001,1591,0.96,553,"4,258",6.99,1.218,0.004,268,0.96,"4,258",6.99,A
A,92,1.04,?c,?s,100,3,,1978,29,0,,0,0,"505,248","1,077,235","2,786,096","11,350",1,1,1,1,1,0.205,0.001,1931,0.96,456,"4,205",8.37,1.218,0.003,325,0.96,"4,205",8.37,A
A,93,0.69,?c,?j?e,300,5,,1995,12,0,,0,"53,133","505,248","1,077,235","2,786,096","20,504",1,1,1,1,1,0.205,0.001,1069,0.96,823,"4,265",4.7,1.218,0.006,180,0.96,"4,265",4.7,A
A,94,0.69,?c,?s,150,24,,1980,27,0,,0,"133,758","505,248","1,077,235","2,786,096","108,116",1,1,1,1,1,0.205,0.005,203,0.96,"4,340","4,426",0.93,1.218,0.029,34,1.14,"5,256",1.1,B
A,95,0.69,?c,?s,150,4,,1987,20,0,,0,"133,758","505,248","1,077,235","2,786,096","16,098",1,1,1,1,1,0.205,0.001,1362,0.96,646,"4,338",6.09,1.218,0.004,229,0.96,"4,338",6.09,A
A,96,0.69,?c,?s,150,7,1988,1980,27,0,,1,"133,758","505,248","1,077,235","2,786,096","29,634",1,1,1,1,1,1.218,0.008,125,0.96,"1,190","4,351",3.32,1.746,0.012,87,0.96,"4,351",3.32,A
A,97,0.69,?c,?s,150,8,,1981,26,0,,0,"133,758","505,248","1,077,235","2,786,096","36,573",1,1,1,1,1,0.205,0.002,599,0.96,"1,468","4,357",2.69,1.218,0.01,101,0.96,"4,357",2.69,A
A,98,0.78,?c,?`,150,34,,1968,39,0,,0,"2,954,136","505,248","1,077,235","2,786,096","154,760",1,1,1,1,1,0.205,0.007,142,0.96,"6,212","7,178",1.05,1.218,0.042,24,1.35,"10,095",1.47,A
A,99,0.78,?c,?s,150,2,,1980,27,0,,0,"2,954,136","505,248","1,077,235","2,786,096","8,377",1,1,1,1,1,0.205,0,2617,0.96,336,"7,038",19.01,1.218,0.002,441,0.96,"7,038",19.01,A
A,100,0.78,?c,?`,150,2,,1968,39,0,,0,"2,954,136","505,248","1,077,235","2,786,096","10,591",1,1,1,1,1,0.205,0,2070,0.96,425,"7,040",15.03,1.218,0.003,349,0.96,"7,040",15.03,A
A,101,0.78,?c,?`,150,5,,1968,39,0,,0,0,"505,248","1,077,235","2,786,096","21,263",1,1,1,1,1,0.205,0.001,1031,0.96,854,"4,214",4.48,1.218,0.006,174,0.96,"4,214",4.48,A
A,102,0.78,?c,?`,300,32,,1968,39,0,,0,"2,954,136","505,248","1,077,235","2,786,096","142,299",1,1,1,1,1,0.205,0.006,154,0.96,"5,712","7,166",1.14,1.218,0.039,26,1.29,"9,630",1.53,A
A,103,0.78,?c,?j,150,6,,1998,9,0,,0,"2,954,136","505,248","1,077,235","2,786,096","25,200",1,1,1,1,1,0.205,0.001,870,0.96,"1,012","7,054",6.33,1.218,0.007,147,0.96,"7,054",6.33,A
A,104,0.78,?c,?j,100,2,,1998,9,0,,0,"2,954,136","505,248","1,077,235","2,786,096","6,926",1,1,1,1,1,0.205,0,3165,0.96,278,"7,036",22.97,1.218,0.002,533,0.96,"7,036",22.97,A
A,105,0.78,?c,?j,100,9,,2005,2,0,,0,"2,954,136","505,248","1,077,235","2,786,096","41,736",1,1,1,1,1,0.205,0.002,525,0.96,"1,675","7,070",3.83,1.218,0.011,88,0.96,"7,070",3.83,A
A,106,0.69,?c,?j,300,5,,2003,4,0,,0,"2,954,136","505,248","1,077,235","2,786,096","22,187",1,1,1,1,1,0.205,0.001,988,0.96,891,"7,051",7.18,1.218,0.006,166,0.96,"7,051",7.18,A
A,107,0.78,?c,?j,300,26,,1989,18,0,,0,0,"505,248","1,077,235","2,786,096","117,394",1,1,1,1,1,0.205,0.005,187,0.96,"4,712","4,307",0.83,1.218,0.032,31,1.19,"5,338",1.03,B
A,108,0.78,?c,?`,300,278,,1968,39,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,251,902",1,1,1,1,1,0.205,0.057,18,1.63,"50,253","13,977",0.25,1.218,0.339,3,7.4,"63,452",1.15,B
